counter spinlock:
4694 12.296
4685 12.862
4680 13.241
4690 13.244
4683 13.464
4679 13.715
4681 13.730
4678 13.981
4684 14.063
4693 14.206
4689 14.435
4686 14.638
4695 14.772
4697 14.790
4682 14.889
4688 14.891
4687 14.896
4691 14.884
4696 14.883
4692 14.903
counter mutex:
4851 6.896
4848 6.931
4841 6.983
4846 7.005
4856 7.008
4854 7.067
4849 7.104
4855 7.113
4843 7.143
4852 7.152
4844 7.166
4857 7.162
4847 7.171
4858 7.172
4839 7.196
4842 7.189
4840 7.205
4850 7.205
4853 7.208
4845 7.227
counter two_phase:
5040 7.127
5030 7.228
5026 7.274
5025 7.334
5038 7.326
5033 7.351
5029 7.376
5022 7.420
5037 7.405
5021 7.442
5039 7.419
5036 7.451
5023 7.490
5031 7.478
5035 7.471
5034 7.476
5028 7.501
5027 7.519
5024 7.535
5032 7.518
counter pthread:
5156 0.522
5148 0.552
5143 0.580
5157 0.630
5149 0.649
5153 0.654
5146 0.669
5152 0.670
5144 0.679
5150 0.748
5140 0.752
5155 0.779
5158 0.807
5154 0.827
5139 0.878
5142 0.878
5145 0.880
5151 0.880
5141 0.906
5147 0.905
