counter mutex:
4796 6.751
4788 6.812
4784 6.923
4794 6.993
4785 7.062
4793 7.146
4783 7.210
4795 7.186
4778 7.244
4782 7.257
4792 7.255
4789 7.275
4779 7.297
4787 7.268
4791 7.283
4777 7.319
4786 7.291
4780 7.330
4781 7.334
4790 7.323
counter mutex:
4824 3.334
4815 3.815
4821 3.847
4810 3.873
4819 3.919
4820 3.952
4818 3.980
4817 4.062
4823 4.074
4822 4.106
4811 4.116
4825 4.120
4807 4.097
4812 4.131
4813 4.139
4826 4.139
4809 4.141
4816 4.141
4814 4.145
4808 4.152
counter mutex:
4851 6.896
4848 6.931
4841 6.983
4846 7.005
4856 7.008
4854 7.067
4849 7.104
4855 7.113
4843 7.143
4852 7.152
4844 7.166
4857 7.162
4847 7.171
4858 7.172
4839 7.196
4842 7.189
4840 7.205
4850 7.205
4853 7.208
4845 7.227
counter mutex:
4873 3.462
4885 3.624
4871 3.654
4874 3.681
4886 3.680
4889 3.678
4870 3.727
4883 3.714
4884 3.734
4875 3.773
4888 3.888
4882 3.920
4879 3.959
4872 3.993
4887 3.970
4880 3.967
4881 3.970
4877 3.985
4876 4.004
4878 3.985
counter mutex:
4921 7.531
4917 7.597
4911 7.607
4922 7.613
4904 7.640
4915 7.624
4912 7.634
4909 7.654
4916 7.645
4905 7.666
4918 7.650
4903 7.671
4907 7.675
4906 7.684
4919 7.668
4910 7.682
4908 7.691
4920 7.681
4913 7.690
4914 7.688
