counter pthread:
5156 0.522
5148 0.552
5143 0.580
5157 0.630
5149 0.649
5153 0.654
5146 0.669
5152 0.670
5144 0.679
5150 0.748
5140 0.752
5155 0.779
5158 0.807
5154 0.827
5139 0.878
5142 0.878
5145 0.880
5151 0.880
5141 0.906
5147 0.905
counter pthread:
5182 0.359
5180 0.523
5181 0.590
5170 0.689
5184 0.712
5176 0.767
5188 0.802
5174 0.820
5183 0.824
5177 0.828
5187 0.853
5172 0.858
5171 0.904
5179 0.916
5186 0.924
5169 0.969
5175 0.965
5185 0.974
5173 0.975
5178 0.988
counter pthread:
5209 0.321
5191 0.421
5193 0.423
5203 0.430
5196 0.513
5207 0.576
5198 0.593
5194 0.594
5199 0.610
5200 0.619
5201 0.666
5202 0.723
5195 0.725
5197 0.725
5206 0.761
5204 0.837
5205 0.842
5192 0.862
5208 0.856
5190 0.866
