counter spinlock:
4528 15.461
4529 15.926
4533 16.074
4522 16.187
4535 16.244
4534 16.334
4521 16.339
4517 17.202
4536 17.368
4518 17.681
4531 17.810
4532 17.997
4520 18.041
4525 18.063
4527 18.095
4524 18.178
4519 18.176
4530 18.200
4523 18.215
4526 18.214
counter spinlock:
4566 10.424
4570 10.441
4562 11.648
4577 11.827
4565 12.003
4569 12.053
4579 12.090
4571 12.402
4563 12.462
4574 12.571
4575 12.719
4578 12.720
4572 12.773
4573 12.795
4564 12.865
4568 12.863
4580 12.861
4567 12.941
4561 12.956
4576 12.918
counter spinlock:
4694 12.296
4685 12.862
4680 13.241
4690 13.244
4683 13.464
4679 13.715
4681 13.730
4678 13.981
4684 14.063
4693 14.206
4689 14.435
4686 14.638
4695 14.772
4697 14.790
4682 14.889
4688 14.891
4687 14.896
4691 14.884
4696 14.883
4692 14.903
