counter two_phase:
5005 5.860
5008 6.983
4999 7.019
5003 7.152
4990 7.133
4998 7.192
5000 7.199
5007 7.216
4996 7.243
5001 7.263
4994 7.256
5006 7.324
4997 7.337
5004 7.345
5002 7.328
4993 7.323
4995 7.333
5009 7.339
4992 7.336
4991 7.339
counter two_phase:
5040 7.127
5030 7.228
5026 7.274
5025 7.334
5038 7.326
5033 7.351
5029 7.376
5022 7.420
5037 7.405
5021 7.442
5039 7.419
5036 7.451
5023 7.490
5031 7.478
5035 7.471
5034 7.476
5028 7.501
5027 7.519
5024 7.535
5032 7.518
counter two_phase:
5066 7.086
5055 7.421
5069 7.544
5058 7.603
5062 7.602
5052 7.675
5067 7.642
5056 7.689
5071 7.716
5061 7.748
5065 7.798
5070 7.794
5060 7.823
5053 7.839
5059 7.837
5068 7.844
5054 7.882
5064 7.886
5057 7.909
5063 7.908
