hash spinlock:
6226 8.525
6237 8.758
6228 9.401
6220 9.502
6218 9.817
6235 10.242
6224 10.394
6225 10.791
6223 10.850
6234 10.984
6236 10.992
6221 11.009
6229 11.052
6232 11.177
6219 11.196
6231 11.238
6230 11.292
6227 11.298
6233 11.318
6222 11.317
hash mutex:
6509 4.445
6500 4.591
6505 4.740
6506 4.745
6502 4.753
6503 4.759
6499 4.763
6498 4.767
6511 4.778
6497 4.779
6492 4.810
6501 4.832
6496 4.836
6504 4.856
6510 4.856
6495 4.870
6507 4.876
6494 4.878
6493 4.879
6508 4.890
hash two_phase:
6779 7.822
6788 7.966
6777 7.994
6774 8.008
6781 7.999
6772 8.021
6775 8.032
6790 8.026
6771 8.064
6787 8.081
6780 8.097
6786 8.121
6783 8.218
6785 8.229
6773 8.252
6778 8.230
6782 8.248
6789 8.254
6776 8.278
6784 8.260
hash pthread:
6887 0.883
6895 1.016
6889 1.033
6888 1.052
6890 1.122
6900 1.135
6883 1.148
6886 1.171
6882 1.173
6899 1.199
6894 1.211
6897 1.241
6892 1.257
6884 1.267
6893 1.267
6885 1.270
6891 1.273
6896 1.282
6901 1.284
6898 1.285
