hash mutex:
6462 7.845
6473 8.207
6479 8.243
6470 8.257
6475 8.301
6465 8.315
6468 8.318
6467 8.323
6477 8.325
6463 8.346
6471 8.356
6464 8.372
6469 8.399
6481 8.395
6478 8.397
6474 8.406
6472 8.418
6476 8.424
6466 8.431
6480 8.421
hash mutex:
6509 4.445
6500 4.591
6505 4.740
6506 4.745
6502 4.753
6503 4.759
6499 4.763
6498 4.767
6511 4.778
6497 4.779
6492 4.810
6501 4.832
6496 4.836
6504 4.856
6510 4.856
6495 4.870
6507 4.876
6494 4.878
6493 4.879
6508 4.890
hash mutex:
6536 4.157
6531 4.842
6534 4.849
6543 4.846
6532 4.856
6540 4.874
6539 4.891
6542 4.883
6525 4.902
6530 4.905
6537 4.909
6526 4.916
6527 4.926
6529 4.929
6533 4.950
6535 4.963
6528 4.969
6524 4.971
6538 4.973
6541 4.964
hash mutex:
6562 4.463
6569 4.445
6556 4.533
6561 4.576
6566 4.610
6557 4.622
6554 4.624
6564 4.644
6572 4.610
6559 4.669
6570 4.616
6560 4.679
6565 4.690
6563 4.690
6558 4.695
6573 4.662
6555 4.719
6568 4.735
6567 4.735
6571 4.690
hash mutex:
6591 4.307
6598 4.554
6600 4.620
6590 4.769
6595 4.903
6588 4.932
6594 4.949
6589 4.967
6592 4.965
6587 4.986
6602 4.975
6585 4.990
6596 4.995
6586 5.021
6603 5.019
6593 5.024
6599 5.024
6584 5.038
6597 5.036
6601 5.037
