hash pthread:
6887 0.883
6895 1.016
6889 1.033
6888 1.052
6890 1.122
6900 1.135
6883 1.148
6886 1.171
6882 1.173
6899 1.199
6894 1.211
6897 1.241
6892 1.257
6884 1.267
6893 1.267
6885 1.270
6891 1.273
6896 1.282
6901 1.284
6898 1.285
hash pthread:
6919 0.840
6932 0.958
6924 1.048
6923 1.117
6925 1.131
6930 1.162
6929 1.188
6918 1.226
6917 1.229
6928 1.242
6931 1.248
6921 1.250
6927 1.265
6920 1.273
6913 1.270
6916 1.285
6926 1.286
6914 1.293
6915 1.301
6922 1.301
hash pthread:
6948 0.919
6960 0.958
6959 0.964
6944 1.159
6950 1.160
6954 1.164
6949 1.190
6946 1.211
6962 1.231
6956 1.234
6943 1.266
6955 1.282
6945 1.290
6953 1.308
6958 1.310
6951 1.325
6961 1.332
6947 1.335
6957 1.347
6952 1.356
hash pthread:
6987 0.701
6979 0.907
6988 0.961
6983 0.963
6980 1.086
6984 1.094
6989 1.124
6994 1.136
6978 1.147
6995 1.152
6985 1.164
6990 1.169
6986 1.171
6991 1.195
6993 1.213
6981 1.214
6977 1.226
6976 1.238
6992 1.245
6982 1.256
hash pthread:
7008 0.859
7005 0.977
7009 0.987
7010 1.017
7002 1.106
6998 1.110
7014 1.112
7000 1.114
6999 1.159
7003 1.161
7013 1.174
7004 1.184
7006 1.234
7007 1.237
7012 1.250
7011 1.253
7016 1.261
7001 1.262
7015 1.264
7017 1.276
