hash spinlock:
6195 8.555
6196 9.333
6197 10.209
6180 10.643
6185 10.819
6199 10.864
6198 10.976
6184 11.093
6181 11.214
6183 11.262
6194 11.292
6186 11.322
6191 11.339
6193 11.364
6192 11.386
6189 11.369
6187 11.876
6182 11.908
6190 11.878
6188 11.926
hash spinlock:
6226 8.525
6237 8.758
6228 9.401
6220 9.502
6218 9.817
6235 10.242
6224 10.394
6225 10.791
6223 10.850
6234 10.984
6236 10.992
6221 11.009
6229 11.052
6232 11.177
6219 11.196
6231 11.238
6230 11.292
6227 11.298
6233 11.318
6222 11.317
hash spinlock:
6269 9.832
6253 9.951
6257 10.071
6262 10.125
6264 10.315
6263 10.455
6267 10.502
6258 10.852
6260 10.973
6265 10.999
6254 11.076
6256 11.177
6252 11.190
6268 11.159
6270 11.230
6259 11.339
6266 11.323
6251 11.361
6255 11.367
6261 11.362
hash spinlock:
6299 7.516
6300 7.685
6286 8.647
6289 8.777
6304 8.831
6303 9.330
6301 9.498
6293 9.833
6294 9.926
6287 9.966
6291 10.068
6285 10.098
6297 10.244
6295 10.321
6290 10.340
6292 12.048
6296 22.887
6298 25.504
6288 25.502
6302 25.504
hash spinlock:
6329 8.583
6327 8.863
6320 9.058
6325 9.445
6319 9.960
6336 10.054
6326 10.265
6337 10.304
6332 10.389
6328 10.462
6330 10.516
6318 10.665
6333 10.732
6331 10.860
6334 10.899
6321 10.949
6323 10.949
6324 10.977
6322 11.000
6335 10.986
