hash two_phase:
6669 7.449
6680 8.199
6681 8.226
6676 8.247
6683 8.250
6677 8.276
6678 8.276
6685 8.286
6675 8.294
6671 8.295
6668 8.300
6673 8.302
6682 8.302
6670 8.310
6679 8.311
6686 8.319
6684 8.322
6672 8.323
6674 8.326
6667 8.329
hash two_phase:
6713 7.822
6716 7.915
6721 7.917
6718 7.940
6727 7.943
6722 7.951
6723 7.956
6712 7.980
6715 8.001
6714 7.991
6720 8.011
6717 8.026
6719 8.028
6726 8.027
6711 8.033
6725 8.045
6710 8.048
6728 8.054
6709 8.065
6724 8.068
hash two_phase:
6741 4.033
6755 4.545
6743 4.571
6747 4.588
6745 4.612
6752 4.623
6756 4.665
6757 4.675
6754 4.677
6750 4.680
6746 4.684
6753 4.687
6760 4.701
6758 4.702
6742 4.710
6744 4.717
6751 4.724
6748 4.725
6749 4.726
6759 4.734
hash two_phase:
6779 7.822
6788 7.966
6777 7.994
6774 8.008
6781 7.999
6772 8.021
6775 8.032
6790 8.026
6771 8.064
6787 8.081
6780 8.097
6786 8.121
6783 8.218
6785 8.229
6773 8.252
6778 8.230
6782 8.248
6789 8.254
6776 8.278
6784 8.260
hash two_phase:
6814 7.683
6802 8.409
6804 8.504
6800 8.555
6812 8.563
6807 8.599
6810 8.600
6813 8.603
6815 8.604
6819 8.620
6806 8.666
6809 8.661
6803 8.691
6808 8.672
6818 8.711
6817 8.712
6811 8.714
6801 8.717
6805 8.721
6816 8.724
