list spinlock:
5361 15.474
5373 16.577
5354 16.811
5366 17.582
5359 18.237
5372 18.582
5368 18.960
5356 19.169
5360 19.404
5357 19.437
5363 19.559
5365 19.645
5362 19.701
5369 19.741
5355 19.876
5367 19.827
5370 19.914
5371 19.926
5364 19.945
5358 19.979
list mutex:
5530 10.723
5533 10.843
5537 10.844
5535 10.862
5538 10.876
5540 10.913
5526 10.939
5521 10.998
5522 11.049
5532 11.161
5534 11.204
5536 11.220
5531 11.222
5527 11.226
5524 11.240
5529 11.241
5528 11.250
5523 11.260
5539 11.278
5525 11.299
list two_phase:
5844 4.988
5853 5.018
5858 5.138
5857 5.158
5843 5.172
5841 5.210
5860 5.220
5848 5.224
5855 5.239
5846 5.284
5842 5.284
5859 5.284
5856 5.292
5851 5.294
5850 5.305
5852 5.320
5854 5.324
5849 5.327
5845 5.330
5847 5.337
list pthread:
5998 0.716
5994 0.770
6004 0.875
6001 0.918
5989 0.948
5997 0.949
5995 1.004
5993 1.038
5996 1.077
6000 1.079
5999 1.101
6005 1.110
5992 1.111
5988 1.115
6002 1.122
6003 1.136
6006 1.138
5990 1.142
5987 1.172
5991 1.174
