list mutex:
5530 10.723
5533 10.843
5537 10.844
5535 10.862
5538 10.876
5540 10.913
5526 10.939
5521 10.998
5522 11.049
5532 11.161
5534 11.204
5536 11.220
5531 11.222
5527 11.226
5524 11.240
5529 11.241
5528 11.250
5523 11.260
5539 11.278
5525 11.299
list mutex:
5558 5.842
5565 5.854
5564 5.965
5561 5.968
5553 5.979
5555 5.992
5556 5.996
5551 5.994
5567 6.015
5568 6.021
5566 6.022
5569 6.031
5570 6.038
5562 6.039
5560 6.055
5552 6.050
5563 6.066
5557 6.067
5559 6.072
5554 6.075
list mutex:
5598 10.477
5594 10.526
5595 10.615
5599 10.868
5587 11.064
5589 11.168
5584 11.228
5602 11.219
5585 11.273
5588 11.330
5592 11.334
5593 11.350
5601 11.394
5596 11.431
5586 11.441
5591 11.466
5597 11.504
5600 11.500
5590 11.509
5583 11.513
list mutex:
5625 5.654
5623 5.724
5626 5.737
5631 5.742
5620 5.765
5616 5.773
5628 5.776
5624 5.779
5617 5.788
5632 5.783
5622 5.817
5630 5.829
5633 5.825
5618 5.837
5629 5.839
5627 5.853
5634 5.849
5621 5.862
5615 5.864
5619 5.864
list mutex:
5657 10.976
5663 11.365
5665 11.381
5654 11.490
5661 11.513
5656 11.587
5662 11.590
5664 11.622
5652 11.626
5646 11.641
5659 11.651
5660 11.668
5649 11.741
5648 11.787
5655 11.787
5651 11.817
5647 11.830
5658 11.847
5653 11.865
5650 11.872
