list pthread:
5966 0.832
5970 0.859
5961 0.860
5963 0.896
5968 0.986
5957 1.021
5959 1.044
5967 1.049
5960 1.056
5962 1.073
5972 1.074
5964 1.084
5958 1.089
5969 1.092
5973 1.106
5971 1.114
5974 1.140
5955 1.167
5965 1.175
5956 1.175
list pthread:
5998 0.716
5994 0.770
6004 0.875
6001 0.918
5989 0.948
5997 0.949
5995 1.004
5993 1.038
5996 1.077
6000 1.079
5999 1.101
6005 1.110
5992 1.111
5988 1.115
6002 1.122
6003 1.136
6006 1.138
5990 1.142
5987 1.172
5991 1.174
list pthread:
6022 0.740
6028 0.774
6029 0.809
6024 0.862
6019 0.892
6023 0.915
6026 0.933
6021 0.985
6033 1.000
6032 1.018
6030 1.045
6037 1.066
6035 1.074
6025 1.091
6031 1.114
6027 1.143
6020 1.160
6036 1.179
6034 1.180
6038 1.182
list pthread:
6052 0.801
6063 0.914
6048 0.921
6051 0.928
6056 0.960
6054 0.984
6061 0.987
6059 0.994
6062 1.032
6057 1.041
6066 1.086
6050 1.101
6049 1.126
6064 1.126
6060 1.128
6065 1.130
6058 1.133
6053 1.143
6055 1.166
6067 1.166
list pthread:
6081 0.752
6096 0.850
6089 0.884
6080 0.939
6094 0.942
6086 0.944
6092 0.946
6084 0.960
6097 0.996
6083 1.004
6079 1.029
6095 1.047
6087 1.065
6085 1.102
6090 1.112
6093 1.127
6088 1.140
6091 1.155
6098 1.156
6082 1.165
