list spinlock:
5361 15.474
5373 16.577
5354 16.811
5366 17.582
5359 18.237
5372 18.582
5368 18.960
5356 19.169
5360 19.404
5357 19.437
5363 19.559
5365 19.645
5362 19.701
5369 19.741
5355 19.876
5367 19.827
5370 19.914
5371 19.926
5364 19.945
5358 19.979
list spinlock:
5395 17.534
5387 17.582
5402 17.788
5391 18.455
5398 18.749
5389 18.882
5399 19.784
5397 19.810
5393 19.951
5390 20.008
5404 20.041
5388 20.249
5394 20.480
5405 20.509
5406 20.519
5392 20.552
5400 20.540
5401 20.622
5403 20.650
5396 20.661
list spinlock:
5425 14.167
5437 14.413
5432 16.455
5430 17.711
5439 18.286
5426 18.364
5431 18.433
5440 19.110
5427 19.155
5422 19.621
5434 19.661
5421 19.814
5429 19.810
5436 19.815
5423 19.895
5435 19.868
5424 19.947
5438 19.946
5433 19.965
5428 19.987
