list two_phase:
5741 4.916
5749 4.935
5744 4.939
5742 4.965
5746 4.982
5748 5.014
5733 5.017
5736 5.063
5752 5.073
5745 5.100
5734 5.107
5740 5.121
5750 5.125
5738 5.144
5747 5.144
5743 5.144
5737 5.148
5735 5.152
5739 5.162
5751 5.167
list two_phase:
5782 8.604
5768 8.801
5776 8.805
5766 8.864
5773 8.997
5781 9.104
5777 9.119
5770 9.162
5763 9.174
5771 9.208
5779 9.214
5780 9.257
5778 9.272
5765 9.309
5774 9.313
5764 9.343
5769 9.346
5775 9.360
5772 9.377
5767 9.379
list two_phase:
5818 9.228
5809 9.329
5824 9.462
5815 9.582
5813 9.595
5825 9.606
5821 9.621
5816 9.624
5807 9.648
5814 9.652
5806 9.669
5823 9.680
5812 9.714
5822 9.725
5810 9.784
5819 9.789
5820 9.796
5811 9.812
5808 9.820
5817 9.830
list two_phase:
5844 4.988
5853 5.018
5858 5.138
5857 5.158
5843 5.172
5841 5.210
5860 5.220
5848 5.224
5855 5.239
5846 5.284
5842 5.284
5859 5.284
5856 5.292
5851 5.294
5850 5.305
5852 5.320
5854 5.324
5849 5.327
5845 5.330
5847 5.337
list two_phase:
5870 4.963
5879 5.052
5887 5.091
5882 5.174
5883 5.178
5871 5.186
5876 5.204
5872 5.218
5884 5.238
5885 5.240
5888 5.260
5881 5.266
5874 5.267
5886 5.270
5880 5.273
5873 5.275
5889 5.298
5878 5.299
5875 5.307
5877 5.308
